Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles
Seated Zottman Curl,Strength,Arms,Curl,Intermediate,Dumbbells,Curl the weights up and rotate the wrists at the top.,Perform standing for more core engagement.,Avoid swinging the weights.,Build arm strength and size.,Slow and controlled.,Main workout,Strength,"Biceps, Brachialis",Forearm Flexors,Triceps,"Core, Scapular Stabilizers"
Dumbbell Walking Lunge,Strength,Legs,Lunge,Intermediate,Dumbbells,"Step forward into a lunge with each leg, holding dumbbells at your sides.",Use bodyweight only for lower intensity.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Dumbbell Push Press,Strength,Shoulders,Push,Intermediate,Dumbbells,Dip your knees and use your legs to help press the dumbbells overhead.,Perform seated for isolation.,Avoid locking your elbows.,Build shoulder and leg strength.,Explosive.,Main workout,Power,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Standing Barbell Concentration Curl,Strength,Arms,Curl,Intermediate,Barbell,"Stand with a barbell and curl it up, focusing on biceps contraction.",Use dumbbells for variation.,Keep your back straight and avoid swinging.,Build bicep strength.,Controlled and focused.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Dumbbell Good Morning,Strength,Lower Back,Hinge,Intermediate,Dumbbells,Hold dumbbells at your sides and bend at the hips to lower your torso.,Use lighter weights if necessary.,Keep your back straight and hinge at the hips.,Strengthen lower back and hamstrings.,Slow and controlled.,Main workout,Strength,Hamstrings,"Glutes, Erector Spinae",Hip Flexors,"Core, Lower Back"
Band-Assisted Bench Press,Strength,Chest,Push,Intermediate,"Barbell, Resistance Bands",Use resistance bands to assist the bench press movement.,Adjust band tension for difficulty.,Ensure proper bench press form.,Build chest strength with assistance.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Bar Dip,Strength,Arms,Push,Intermediate,Parallel Bars,"Dip between parallel bars, lowering your body and pushing back up.",Use assistance bands if needed.,Keep your shoulders stable.,Build tricep and chest strength.,Controlled descent and ascent.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers"
Bench Press Against Band,Strength,Chest,Push,Intermediate,"Barbell, Resistance Bands",Bench press with resistance bands adding extra tension.,Adjust band tension for difficulty.,Ensure proper bench press form.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Board Press,Strength,Chest,Push,Intermediate,"Barbell, Boards",Perform bench press with boards on your chest to limit range of motion.,Adjust board height for variation.,Ensure proper bench press form.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Cable Chest Press,Strength,Chest,Push,Intermediate,Cable Machine,Press cables forward from a standing or seated position.,Adjust cable height for variation.,Keep your back straight and core engaged.,Build chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Close-Grip Bench Press,Strength,Chest,Push,Intermediate,Barbell,Bench press with a narrow grip to emphasize triceps.,Adjust grip width for variation.,Ensure proper bench press form.,Build tricep and chest strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Close-Grip Feet-Up Bench Press,Strength,Chest,Push,Intermediate,Barbell,Bench press with feet up and close grip to emphasize triceps.,Adjust grip width for variation.,Ensure proper bench press form.,Build tricep and chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Decline Bench Press,Strength,Chest,Push,Intermediate,Barbell,Bench press on a decline bench to target lower chest.,Use dumbbells for variation.,Ensure proper bench press form.,Build lower chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Decline Push-Up,Strength,Chest,Push,Beginner,,Perform push-ups with feet elevated on a platform to target upper chest.,Adjust elevation height for difficulty.,Keep your body straight.,Build upper chest and shoulder strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Dumbbell Chest Fly,Strength,Chest,Push,Intermediate,Dumbbells,Lie on a bench and fly the dumbbells out to the sides and back up.,Adjust bench angle for variation.,Keep a slight bend in your elbows.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers"
Dumbbell Chest Press,Strength,Chest,Push,Intermediate,Dumbbells,Lie on a bench and press the dumbbells up and together.,Adjust bench angle for variation.,Keep your back flat on the bench.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Dumbbell Decline Chest Press,Strength,Chest,Push,Intermediate,Dumbbells,Press dumbbells on a decline bench to target lower chest.,Use different bench angles for variation.,Ensure proper form and range of motion.,Build lower chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Dumbbell Floor Press,Strength,Chest,Push,Intermediate,Dumbbells,"Lie on the floor and press dumbbells up, limiting range of motion.",Use different weights for variation.,Keep your back flat on the floor.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Feet-Up Bench Press,Strength,Chest,Push,Intermediate,Barbell,Bench press with feet elevated to emphasize chest and triceps.,Adjust foot elevation for variation.,Ensure proper bench press form.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Floor Press,Strength,Chest,Push,Intermediate,Barbell,"Lie on the floor and press a barbell up, limiting range of motion.",Use different weights for variation.,Keep your back flat on the floor.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Incline Bench Press,Strength,Chest,Push,Intermediate,Barbell,Bench press on an incline bench to target upper chest.,Use dumbbells for variation.,Ensure proper bench press form.,Build upper chest strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Incline Push-Up,Strength,Chest,Push,Beginner,,Perform push-ups with hands elevated on a platform to target lower chest.,Adjust hand elevation for difficulty.,Keep your body straight.,Build lower chest and shoulder strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Kettlebell Floor Press,Strength,Chest,Push,Intermediate,Kettlebell,"Lie on the floor and press kettlebells up, limiting range of motion.",Use different weights for variation.,Keep your back flat on the floor.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Kneeling Incline Push-Up,Strength,Chest,Push,Beginner,,Perform push-ups with knees on the floor and hands elevated to target chest.,Adjust hand elevation for difficulty.,Keep your body straight.,Build chest and shoulder strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Kneeling Push-Up,Strength,Chest,Push,Beginner,,Perform push-ups with knees on the floor to target chest.,Adjust hand position for variation.,Keep your body straight.,Build chest and shoulder strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Machine Chest Fly,Strength,Chest,Push,Intermediate,Machine,Sit on a machine and fly the handles out to the sides and back together.,Adjust seat height for variation.,Keep a slight bend in your elbows.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers"
Machine Chest Press,Strength,Chest,Push,Intermediate,Machine,Sit on a machine and press the handles forward to target chest.,Adjust seat height for variation.,Keep your back against the seat.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Pec Deck,Strength,Chest,Push,Intermediate,Machine,Sit on a machine and fly the handles out to the sides and back together.,Adjust seat height for variation.,Keep a slight bend in your elbows.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers"
Pin Bench Press,Strength,Chest,Push,Intermediate,Barbell,Bench press with safety pins to limit range of motion.,Adjust pin height for variation.,Ensure proper bench press form.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Push-Up,Strength,Chest,Push,Beginner,,Perform push-ups on the floor to target chest and triceps.,Adjust hand position for variation.,Keep your body straight.,Build chest and tricep strength.,Controlled.,Main workout,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Push-Up Against Wall,Strength,Chest,Push,Beginner,,Perform push-ups with hands against a wall to target chest.,Adjust hand height for difficulty.,Keep your body straight.,Build chest and shoulder strength.,Controlled.,Warm-up,Strength,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Push-Ups With Feet in Rings,Strength,Chest,Push,Intermediate,Rings,Perform push-ups with feet elevated in rings for instability.,Adjust ring height for variation.,Keep your body straight.,Build chest and core strength.,Controlled.,Main workout,Stability,Pectorals,"Triceps, Deltoids",Latissimus Dorsi,"Core, Scapular Stabilizers"
Resistance Band Chest Fly,Strength,Chest,Push,Intermediate,Resistance Bands,Fly the resistance bands out to the sides and back together.,Adjust band tension for variation.,Keep a slight bend in your elbows.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers"
Standing Cable Chest Fly,Strength,Chest,Push,Intermediate,Cable Machine,Fly the cables out to the sides and back together from a standing position.,Adjust cable height for variation.,Keep a slight bend in your elbows.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers"
Standing Resistance Band Chest Fly,Strength,Chest,Push,Intermediate,Resistance Bands,Fly the resistance bands out to the sides and back together from standing.,Adjust band tension for variation.,Keep a slight bend in your elbows.,Build chest strength and size.,Controlled.,Main workout,Strength,Pectorals,Deltoids,Latissimus Dorsi,"Core, Scapular Stabilizers"
Band External Shoulder Rotation,Strength,Shoulders,Rotation,Beginner,Resistance Bands,Rotate the shoulder externally using resistance bands.,Adjust band tension for variation.,Keep the elbow close to the body.,Strengthen rotator cuff muscles.,Controlled.,Warm-up,Stability,"Infraspinatus, Teres Minor",Deltoids,Subscapularis,"Core, Scapular Stabilizers"
Band Internal Shoulder Rotation,Strength,Shoulders,Rotation,Beginner,Resistance Bands,Rotate the shoulder internally using resistance bands.,Adjust band tension for variation.,Keep the elbow close to the body.,Strengthen rotator cuff muscles.,Controlled.,Warm-up,Stability,Subscapularis,Deltoids,"Infraspinatus, Teres Minor","Core, Scapular Stabilizers"
Barbell Rear Delt Row,Strength,Shoulders,Pull,Intermediate,Barbell,Row the barbell to the rear delts from a bent-over position.,Use different grips for variation.,Keep your back straight and core engaged.,Strengthen rear delts and upper back.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Behind the Neck Press,Strength,Shoulders,Push,Advanced,Barbell,Press the barbell overhead from behind the neck.,Perform seated for more stability.,Avoid locking your elbows.,Build shoulder strength and size.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Cable Rear Delt Row,Strength,Shoulders,Pull,Intermediate,Cable Machine,Row the cable to the rear delts from a seated position.,Adjust cable height for variation.,Keep your back straight and core engaged.,Strengthen rear delts and upper back.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Dumbbell Horizontal Internal Shoulder Rotation,Strength,Shoulders,Rotation,Beginner,Dumbbells,Rotate the shoulder internally with a dumbbell from a horizontal position.,Use lighter weights if needed.,Keep the elbow at shoulder height.,Strengthen rotator cuff muscles.,Controlled.,Warm-up,Stability,Subscapularis,Deltoids,"Infraspinatus, Teres Minor","Core, Scapular Stabilizers"
Dumbbell Horizontal External Shoulder Rotation,Strength,Shoulders,Rotation,Beginner,Dumbbells,Rotate the shoulder externally with a dumbbell from a horizontal position.,Use lighter weights if needed.,Keep the elbow at shoulder height.,Strengthen rotator cuff muscles.,Controlled.,Warm-up,Stability,"Infraspinatus, Teres Minor",Deltoids,Subscapularis,"Core, Scapular Stabilizers"
Face Pull,Strength,Shoulders,Pull,Intermediate,Cable Machine,"Pull the cable towards your face, leading with the elbows.",Adjust cable height for variation.,Keep your back straight and core engaged.,Strengthen rear delts and upper back.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Front Hold,Strength,Shoulders,Hold,Intermediate,Weight Plate,Hold a weight plate in front of your body with straight arms.,Adjust weight for difficulty.,Keep your back straight and core engaged.,Build shoulder and core stability.,Static.,Warm-up,Strength,Deltoids,Upper Chest,Latissimus Dorsi,"Core, Scapular Stabilizers"
Lying Dumbbell External Shoulder Rotation,Strength,Shoulders,Rotation,Beginner,Dumbbells,Lie on your side and rotate the shoulder externally with a dumbbell.,Use lighter weights if needed.,Keep the elbow close to the body.,Strengthen rotator cuff muscles.,Controlled.,Warm-up,Stability,"Infraspinatus, Teres Minor",Deltoids,Subscapularis,"Core, Scapular Stabilizers"
Lying Dumbbell Internal Shoulder Rotation,Strength,Shoulders,Rotation,Beginner,Dumbbells,Lie on your side and rotate the shoulder internally with a dumbbell.,Use lighter weights if needed.,Keep the elbow close to the body.,Strengthen rotator cuff muscles.,Controlled.,Warm-up,Stability,Subscapularis,Deltoids,"Infraspinatus, Teres Minor","Core, Scapular Stabilizers"
Machine Lateral Raise,Strength,Shoulders,Lift,Intermediate,Machine,Lift the handles of the machine to the sides to target shoulders.,Adjust seat height for variation.,Keep a slight bend in your elbows.,Build shoulder strength and size.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Machine Shoulder Press,Strength,Shoulders,Push,Intermediate,Machine,Press the handles of the machine overhead to target shoulders.,Adjust seat height for variation.,Keep your back against the seat.,Build shoulder strength and size.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Monkey Row,Strength,Shoulders,Pull,Intermediate,Dumbbells,"Perform a bent-over row with dumbbells, leading with the elbows.",Use different weights for variation.,Keep your back straight and core engaged.,Strengthen rear delts and upper back.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Overhead Press,Strength,Shoulders,Push,Intermediate,Barbell or Dumbbells,Press the weight overhead from a standing position.,Use different grips for variation.,Avoid locking your elbows.,Build shoulder and arm strength.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Plate Front Raise,Strength,Shoulders,Lift,Intermediate,Weight Plate,Raise a weight plate in front of your body to shoulder height.,Use different weights for variation.,Keep your back straight and core engaged.,Build shoulder and arm strength.,Controlled.,Main workout,Strength,Deltoids,,Latissimus Dorsi,"Core, Scapular Stabilizers"
Power Jerk,Strength,Shoulders,Push,Advanced,Barbell,Dip your knees and use your legs to help press the barbell overhead.,Perform with dumbbells for variation.,Avoid locking your elbows.,Build shoulder and leg strength.,Explosive.,Main workout,Power,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Lower Body Stabilizers"
Reverse Cable Flyes,Strength,Shoulders,Pull,Intermediate,Cable Machine,Fly the cables out to the sides from a bent-over position.,Adjust cable height for variation.,Keep a slight bend in your elbows.,Build rear delts and upper back strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Reverse Dumbbell Flyes,Strength,Shoulders,Pull,Intermediate,Dumbbells,Fly the dumbbells out to the sides from a bent-over position.,Use different weights for variation.,Keep a slight bend in your elbows.,Build rear delts and upper back strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Reverse Machine Fly,Strength,Shoulders,Pull,Intermediate,Machine,Sit on a machine and fly the handles out to the sides from a bent-over position.,Adjust seat height for variation.,Keep a slight bend in your elbows.,Build rear delts and upper back strength.,Controlled.,Main workout,Strength,Rear Deltoids,"Rhomboids, Trapezius",Pectorals,"Core, Scapular Stabilizers"
Seated Dumbbell Shoulder Press,Strength,Shoulders,Push,Intermediate,Dumbbells,Press the dumbbells overhead from a seated position.,Perform standing for more core engagement.,Avoid locking your elbows.,Build shoulder strength and size.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Seated Barbell Overhead Press,Strength,Shoulders,Push,Intermediate,Barbell,Press the barbell overhead from a seated position.,Perform standing for more core engagement.,Avoid locking your elbows.,Build shoulder strength and size.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Seated Smith Machine Shoulder Press,Strength,Shoulders,Push,Intermediate,Smith Machine,Press the barbell overhead using a Smith machine from a seated position.,Adjust seat height for variation.,Avoid locking your elbows.,Build shoulder strength and size.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Snatch Grip Behind the Neck Press,Strength,Shoulders,Push,Advanced,Barbell,Press the barbell overhead from behind the neck with a snatch grip.,Perform with a narrower grip for variation.,Avoid locking your elbows.,Build shoulder strength and size.,Controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Squat Jerk,Strength,Shoulders,Push,Advanced,Barbell,Press the barbell overhead and catch it in a squat position.,Perform with dumbbells for variation.,Avoid locking your elbows.,Build shoulder and leg strength.,Explosive.,Main workout,Power,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Lower Body Stabilizers"
Split Jerk,Strength,Shoulders,Push,Advanced,Barbell,"Dip your knees and use your legs to help press the barbell overhead, splitting the legs during the press.",Perform with dumbbells for variation.,Avoid locking your elbows.,Build shoulder and leg strength.,Explosive.,Main workout,Power,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Lower Body Stabilizers"
Barbell Preacher Curl,Strength,Arms,Curl,Intermediate,Barbell,"Curl the barbell up from a preacher bench, focusing on biceps contraction.",Use different grips for variation.,Keep your back straight and avoid swinging.,Build bicep strength.,Controlled and focused.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Bodyweight Curl,Strength,Arms,Curl,Beginner,,Perform a bodyweight curl by lying under a bar and pulling your chest to the bar.,Adjust hand position for variation.,Keep your body straight.,Build arm and back strength.,Controlled.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Cable Curl With Bar,Strength,Arms,Curl,Intermediate,Cable Machine,"Curl the bar attached to a cable machine, focusing on biceps contraction.",Use different grips for variation.,Keep your back straight and avoid swinging.,Build bicep strength.,Controlled and focused.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Cable Curl With Rope,Strength,Arms,Curl,Intermediate,Cable Machine,"Curl the rope attached to a cable machine, focusing on biceps contraction.",Use different grips for variation.,Keep your back straight and avoid swinging.,Build bicep strength.,Controlled and focused.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Incline Dumbbell Curl,Strength,Arms,Curl,Intermediate,Dumbbells,"Curl the dumbbells up from an incline bench, focusing on biceps contraction.",Adjust bench angle for variation.,Keep your back straight and avoid swinging.,Build bicep strength.,Controlled and focused.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Machine Bicep Curl,Strength,Arms,Curl,Intermediate,Machine,"Curl the handles of the machine, focusing on biceps contraction.",Adjust seat height for variation.,Keep your back against the seat.,Build bicep strength.,Controlled and focused.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Spider Curl,Strength,Arms,Curl,Intermediate,Barbell or Dumbbells,"Curl the weight up from a spider bench, focusing on biceps contraction.",Use different grips for variation.,Keep your back straight and avoid swinging.,Build bicep strength.,Controlled and focused.,Main workout,Strength,Biceps,Brachialis,Triceps,"Core, Scapular Stabilizers"
Barbell Standing Triceps Extension,Strength,Arms,Extension,Intermediate,Barbell,Press the barbell overhead and lower it behind your head.,Use dumbbells for variation.,Avoid locking your elbows.,Build tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Barbell Lying Triceps Extension,Strength,Arms,Extension,Intermediate,Barbell,"Lie on a bench and press the barbell up, lowering it behind your head.",Use dumbbells for variation.,Avoid locking your elbows.,Build tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Bench Dip,Strength,Arms,Push,Intermediate,Bench,"Dip between benches, lowering your body and pushing back up.",Use assistance bands if needed.,Keep your shoulders stable.,Build tricep and chest strength.,Controlled descent and ascent.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers"
Close-Grip Push-Up,Strength,Arms,Push,Beginner,,Perform push-ups with a narrow grip to emphasize triceps.,Adjust hand position for variation.,Keep your body straight.,Build tricep and chest strength.,Controlled.,Main workout,Strength,Triceps,"Pectorals, Deltoids",Biceps,"Core, Scapular Stabilizers"
Dumbbell Lying Triceps Extension,Strength,Arms,Extension,Intermediate,Dumbbells,"Lie on a bench and press the dumbbells up, lowering them behind your head.",Use different weights for variation.,Avoid locking your elbows.,Build tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Dumbbell Standing Triceps Extension,Strength,Arms,Extension,Intermediate,Dumbbells,Press the dumbbells overhead and lower them behind your head.,Use different weights for variation.,Avoid locking your elbows.,Build tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Overhead Cable Triceps Extension,Strength,Arms,Extension,Intermediate,Cable Machine,Press the cable overhead and lower it behind your head.,Use different grips for variation.,Avoid locking your elbows.,Build tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Tricep Bodyweight Extension,Strength,Arms,Extension,Intermediate,,Perform a bodyweight extension by leaning forward and pressing up from a bench.,Adjust hand position for variation.,Keep your body straight.,Build tricep strength.,Controlled.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Tricep Pushdown With Bar,Strength,Arms,Push,Intermediate,Cable Machine,"Push the bar down attached to a cable machine, focusing on triceps contraction.",Use different grips for variation.,Keep your back straight and avoid swinging.,Build tricep strength.,Controlled and focused.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Tricep Pushdown With Rope,Strength,Arms,Push,Intermediate,Cable Machine,"Push the rope down attached to a cable machine, focusing on triceps contraction.",Use different grips for variation.,Keep your back straight and avoid swinging.,Build tricep strength.,Controlled and focused.,Main workout,Strength,Triceps,,Biceps,"Core, Scapular Stabilizers"
Air Squat,Strength,Legs,Squat,Beginner,,Perform bodyweight squats with proper form and depth.,Hold weights for added intensity.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled descent and ascent.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
